,Unnamed: 0,Unnamed: 0.1,Effort Code,num1,num2,num3,num4,num5,Correct,Wrong_1,Wrong_2,Difference_1,Difference_2,Unnamed: 12,Unnamed: 13
0,10,Cue1LevelEffort,1,4, + 9, + 1, - 1, - 1,12,13,11,1,-1,,
1,12,Cue1LevelEffort,1,6, + 1, + 1, + 9, - 1,16,14,15,-2,-1,,
2,2,Cue1LevelEffort,1,4, + 1, + 8, + 1, - 1,13,14,15,1,2,,
3,14,Cue1LevelEffort,1,8, + 1, + 1, - 1, - 4,5,6,3,1,-2,,
4,13,Cue1LevelEffort,1,7, + 1, + 4, + 1, - 1,12,11,13,-1,1,,
5,21,Cue1LevelEffort,1,5, + 6, + 1, + 1, + 1,14,16,15,2,1,,
6,14,Cue1LevelEffort,1,8, + 1, + 1, + 1, - 4,7,8,5,1,-2,,
7,16,Cue1LevelEffort,1,2, + 1, + 1, + 7, + 1,12,14,11,2,-1,,
8,6,Cue1LevelEffort,1,8, + 1, + 5, + 1, + 1,16,17,15,1,-1,,
9,14,Cue1LevelEffort,1,8, + 1, + 1, + 1, - 4,7,8,5,1,-2,,
10,5,Cue1LevelEffort,1,7, - 1, + 9, + 1, - 1,15,14,13,-1,-2,,
11,9,Cue1LevelEffort,1,3, + 1, + 8, + 1, + 1,14,13,12,-1,-2,,
12,28,Cue2LevelEffort,2,6, + 1, + 1, + 7, - 9,6,8,4,2,-2,,
13,24,Cue2LevelEffort,2,4, + 9, + 1, - 7, - 1,6,5,8,-1,2,,
14,47,Cue2LevelEffort,2,7, + 8, + 1, + 9, + 1,26,24,25,-2,-1,,
15,30,Cue2LevelEffort,2,8, + 1, + 4, - 7, + 1,7,6,5,-1,-2,,
16,41,Cue2LevelEffort,2,3, + 1, + 8, - 5, - 1,6,7,5,1,-1,,
17,16,Cue2LevelEffort,2,4, + 1, + 9, + 1, - 6,9,8,7,-1,-2,,
18,26,Cue2LevelEffort,2,6, + 1, + 7, + 5, - 1,18,16,17,-2,-1,,
19,27,Cue2LevelEffort,2,7, + 6, + 8, + 1, + 1,23,21,22,-2,-1,,
20,26,Cue2LevelEffort,2,4, + 8, + 1, + 1, - 5,9,8,11,-1,2,,
21,28,Cue2LevelEffort,2,8, + 1, + 1, + 9, - 4,15,14,16,-1,1,,
22,23,Cue2LevelEffort,2,3, + 8, - 5, + 1, + 1,8,6,9,-2,1,,
23,34,Cue2LevelEffort,2,4, + 9, - 7, + 1, - 1,6,5,8,-1,2,,
24,34,Cue3LevelEffort,3,6, + 8, + 7, + 1, - 9,13,15,14,2,1,,
25,35,Cue3LevelEffort,3,7, - 6, + 8, + 1, + 7,17,16,15,-1,-2,,
26,61,Cue3LevelEffort,3,5, + 6, + 7, - 1, - 9,8,7,9,-1,1,,
27,43,Cue3LevelEffort,3,7, - 5, + 9, + 1, - 4,8,7,9,-1,1,,
28,68,Cue3LevelEffort,3,4, + 8, - 9, + 1, + 7,11,9,13,-2,2,,
29,42,Cue3LevelEffort,3,6, - 1, + 7, - 8, + 9,13,11,12,-2,-1,,
30,31,Cue3LevelEffort,3,3, + 8, + 1, + 5, - 9,8,7,9,-1,1,,
31,66,Cue3LevelEffort,3,2, + 1, + 9, - 7, + 6,11,13,12,2,1,,
32,38,Cue3LevelEffort,3,2, - 4, + 9, + 7, + 1,15,13,16,-2,1,,
33,55,Cue3LevelEffort,3,7, + 1, + 9, + 5, - 6,16,15,14,-1,-2,,
34,42,Cue3LevelEffort,3,6, - 8, + 5, + 7, + 9,19,17,18,-2,-1,,
35,30,Cue3LevelEffort,3,2, + 1, + 9, - 5, + 6,13,11,14,-2,1,,
36,91,Cue4LevelEffort,4,2, + 9, - 3, + 5, + 8,21,19,22,-2,1,,
37,57,Cue4LevelEffort,4,6, + 9, - 3, + 8, - 5,15,13,14,-2,-1,,
38,78,Cue4LevelEffort,4,5, + 6, - 4, + 7, + 9,23,25,24,2,1,,
39,87,Cue4LevelEffort,4,6, + 7, + 9, - 3, + 5,24,22,23,-2,-1,,
40,80,Cue4LevelEffort,4,7, + 6, - 9, + 8, - 3,9,8,7,-1,-2,,
41,53,Cue4LevelEffort,4,2, + 9, - 4, + 8, + 7,22,21,23,-1,1,,
42,55,Cue4LevelEffort,4,4, + 7, + 8, - 3, + 9,25,26,24,1,-1,,
43,50,Cue4LevelEffort,4,7, + 8, - 9, + 6, - 3,9,8,7,-1,-2,,
44,96,Cue4LevelEffort,4,5, + 8, - 4, - 6, + 9,12,14,13,2,1,,
45,99,Cue4LevelEffort,4,8, + 4, + 7, - 5, - 6,8,9,7,1,-1,,
46,53,Cue4LevelEffort,4,2, + 9, - 4, + 8, + 7,22,21,23,-1,1,,
47,54,Cue4LevelEffort,4,3, + 8, - 5, + 9, - 7,8,7,6,-1,-2,,
